date,episode,rating,title
1993-01-31,Captive Pursuit,7.7,Star Trek: Deep Space Nine
1993-02-07,Q-Less,6.8,Star Trek: Deep Space Nine
1993-02-14,Dax,7.1,Star Trek: Deep Space Nine
1993-02-22,The Passenger,6.3,Star Trek: Deep Space Nine
1993-03-14,Move Along Home,5.9,Star Trek: Deep Space Nine
1993-03-21,The Nagus,7.1,Star Trek: Deep Space Nine
1993-04-18,Vortex,7.0,Star Trek: Deep Space Nine
1993-04-25,Battle Lines,6.6,Star Trek: Deep Space Nine
1993-05-02,The Storyteller,6.0,Star Trek: Deep Space Nine
1993-05-09,Progress,6.8,Star Trek: Deep Space Nine
1993-05-16,If Wishes Were Horses,6.5,Star Trek: Deep Space Nine
1993-05-23,The Forsaken,6.8,Star Trek: Deep Space Nine
1993-05-30,Dramatis Personae,7.1,Star Trek: Deep Space Nine
1993-06-13,Duet,9.0,Star Trek: Deep Space Nine
1993-06-20,In the Hands of the Prophets,7.8,Star Trek: Deep Space Nine
1993-09-26,The Homecoming,7.7,Star Trek: Deep Space Nine
1993-10-03,The Circle,7.7,Star Trek: Deep Space Nine
1993-10-10,The Siege,7.9,Star Trek: Deep Space Nine
1993-10-17,Invasive Procedures,6.9,Star Trek: Deep Space Nine
1993-10-24,Cardassians,7.4,Star Trek: Deep Space Nine
1993-10-31,Melora,6.3,Star Trek: Deep Space Nine
1993-11-07,Rules of Acquisition,7.3,Star Trek: Deep Space Nine
1993-11-14,Necessary Evil,8.2,Star Trek: Deep Space Nine
1993-11-21,Second Sight,6.1,Star Trek: Deep Space Nine
1993-11-28,Sanctuary,6.5,Star Trek: Deep Space Nine
1994-01-02,Rivals,6.6,Star Trek: Deep Space Nine
1994-01-09,The Alternate,6.7,Star Trek: Deep Space Nine
1994-01-30,Armageddon Game,7.4,Star Trek: Deep Space Nine
1994-02-06,Whispers,8.3,Star Trek: Deep Space Nine
1994-02-13,Paradise,6.8,Star Trek: Deep Space Nine
1994-02-20,Shadowplay,7.2,Star Trek: Deep Space Nine
1994-02-27,Playing God,6.4,Star Trek: Deep Space Nine
1994-03-20,Profit and Loss,7.2,Star Trek: Deep Space Nine
1994-03-27,Blood Oath,8.0,Star Trek: Deep Space Nine
1994-04-24,The Maquis: Part 1,7.8,Star Trek: Deep Space Nine
1994-05-01,The Maquis: Part 2,7.9,Star Trek: Deep Space Nine
1994-05-08,The Wire,8.2,Star Trek: Deep Space Nine
1994-05-15,Crossover,8.0,Star Trek: Deep Space Nine
1994-05-22,The Collaborator,7.1,Star Trek: Deep Space Nine
1994-06-05,Tribunal,7.5,Star Trek: Deep Space Nine
